,totals
1172,1344941817
1173,5720239179
1174,7065180996
1175,202863608
1176,907573553
1177,1110437161
1178,92915692
1179,303510729
1180,396426421
1181,967397937
1182,53
1183,2235897
1184,5961708
1185,394761965
1186,4428194678
1187,4822956643
1188,1344941817
1189,5720239179
1190,7065180996
1191,202863608
1192,907573553
1193,1110437161
1194,92915692
1195,303510729
1196,396426421
1197,967397937
1198,53
1199,2235897
1200,5961708
1201,394761965
1202,4428194678
1203,4822956643
1204,1344941817
1205,5720239179
1206,7065180996
1207,202863608
1208,907573553
1209,1110437161
1210,92915692
1211,303510729
1212,396426421
1213,967397937
1214,53
1215,2235897
1216,5961708
1217,394761965
1218,4428194678
1219,4822956643
1220,1344941817
1221,5720239179
1222,7065180996
1223,202863608
1224,907573553
1225,1110437161
1226,92915692
1227,303510729
1228,396426421
1229,967397937
1230,53
1231,2235897
1232,5961708
1233,394761965
1234,4428194678
1235,4822956643
1236,1344941817
1237,5720239179
1238,7065180996
1239,202863608
1240,907573553
1241,1110437161
1242,92915692
1243,303510729
1244,396426421
1245,967397937
1246,53
1247,2235897
1248,5961708
1249,394761965
1250,4428194678
1251,4822956643
1252,1344941817
1253,5720239179
1254,7065180996
1255,202863608
1256,907573553
1257,1110437161
1258,92915692
1259,303510729
1260,396426421
1261,967397937
1262,53
1263,2235897
1264,5961708
1265,394761965
1266,4428194678
1267,4822956643
1268,1344941817
1269,5720239179
1270,7065180996
1271,202863608
1272,907573553
1273,1110437161
1274,92915692
1275,303510729
1276,396426421
1277,967397937
1278,53
1279,2235897
1280,5961708
1281,394761965
1282,4428194678
1283,4822956643
1284,1344941817
1285,5720239179
1286,7065180996
1287,202863608
1288,907573553
1289,1110437161
1290,92915692
1291,303510729
1292,396426421
1293,967397937
1294,53
1295,2235897
1296,5961708
1297,394761965
1298,4428194678
1299,4822956643
1300,1344941817
1301,5720239179
1302,7065180996
1303,202863608
1304,907573553
1305,1110437161
1306,92915692
1307,303510729
1308,396426421
1309,967397937
1310,53
1311,2235897
1312,5961708
1313,394761965
1314,4428194678
1315,4822956643
1316,1344941817
1317,5720239179
1318,7065180996
1319,202863608
1320,907573553
1321,1110437161
1322,92915692
1323,303510729
1324,396426421
1325,967397937
1326,53
1327,2235897
1328,5961708
1329,394761965
1330,4428194678
1331,4822956643
1332,1344941817
1333,5720239179
1334,7065180996
1335,202863608
1336,907573553
1337,1110437161
1338,92915692
1339,303510729
1340,396426421
1341,967397937
1342,53
1343,2235897
1344,5961708
1345,394761965
1346,4428194678
1347,4822956643
1348,1344941817
1349,5720239179
1350,7065180996
1351,202863608
1352,907573553
1353,1110437161
1354,92915692
1355,303510729
1356,396426421
1357,967397937
1358,53
1359,2235897
1360,5961708
1361,394761965
1362,4428194678
1363,4822956643
1364,1344941817
1365,5720239179
1366,7065180996
1367,202863608
1368,907573553
1369,1110437161
1370,92915692
1371,303510729
1372,396426421
1373,967397937
1374,53
1375,2235897
1376,5961708
1377,394761965
1378,4428194678
1379,4822956643
1380,1344941817
1381,5720239179
1382,7065180996
1383,202863608
1384,907573553
1385,1110437161
1386,92915692
1387,303510729
1388,396426421
1389,967397937
1390,53
1391,2235897
1392,5961708
1393,394761965
1394,4428194678
1395,4822956643
1396,1344941817
1397,5720239179
1398,7065180996
1399,202863608
1400,907573553
1401,1110437161
1402,92915692
1403,303510729
1404,396426421
1405,967397937
1406,53
1407,2235897
1408,5961708
1409,394761965
1410,4428194678
1411,4822956643
1412,1344941817
1413,5720239179
1414,7065180996
1415,202863608
1416,907573553
1417,1110437161
1418,92915692
1419,303510729
1420,396426421
1421,967397937
1422,53
1423,2235897
1424,5961708
1425,394761965
1426,4428194678
1427,4822956643
1428,1344941817
1429,5720239179
1430,7065180996
1431,202863608
1432,907573553
1433,1110437161
1434,92915692
1435,303510729
1436,396426421
1437,967397937
1438,53
1439,2235897
1440,5961708
1441,394761965
1442,4428194678
1443,4822956643
1444,1344941817
1445,5720239179
1446,7065180996
1447,202863608
1448,907573553
1449,1110437161
1450,92915692
1451,303510729
1452,396426421
